dataset,TCW8
model,gan
model_id,twc8_gan_noconstraints
upsampling_factor,8
constraints,none
number_channels,64
number_residual_blocks,4
lr,0.001
loss,mse
optimizer,adam
weight_decay,1e-09
batch_size,64
epochs,20
alpha,0.99
test_val_train,val
training_evalonly,evalonly
dim_channels,1
adv_factor,0.0001
MSE,2.9573858182132247
RMSE,1.7197051
PSNR,35.38239
MAE,1.075601097047329
SSIM,0.9207210540771484
MS SSIM,0.9458386301994324
Pearson corr,0.9208934903144836
Mean bias,0.16917255520820618
Mean abs bias,0.1727428436279297
Mass_violation,0.7341104825834434
neg mean,-0.05401471257209778
neg num,6071
CRPS,0.4570130053162575
